ReviewID,CustomerID,InvoiceID,ServiceQuantityScore,StaffAttitudeScore,OverallSatisfaction,Comment
RVW000001,CUS13525,INV112877,10,9,10,"Mèo nhà mình được chăm sóc rất chu đáo, cảm ơn PetCareX!"
RVW000002,CUS35047,INV005560,7,8,7,"Bác sĩ giỏi, nhưng giá hơi cao so với mặt bằng chung."
RVW000003,CUS48513,INV070402,8,8,8,"Thuốc hiệu quả, bé khỏe hẳn sau 3 ngày điều trị."
RVW000004,CUS41966,INV105541,10,9,10,"Gói tiêm phòng đầy đủ, giá tốt, dịch vụ chuyên nghiệp."
RVW000005,CUS31971,INV057450,5,6,5,"Dịch vụ bình thường, không có gì đặc biệt."
RVW000006,CUS37235,INV140911,9,9,9,"Thiết bị hiện đại, khám nhanh chóng, kết quả chính xác."
RVW000007,CUS46990,INV129767,1,1,1,Giá cao nhưng chất lượng chưa tương xứng.
RVW000008,CUS23630,INV141108,8,9,8,"Nhìn chung ổn, nhân viên thân thiện, sẽ quay lại."
RVW000009,CUS48702,INV077771,6,7,6,"Được thôi, sẽ cân nhắc khi cần quay lại.ínt"
RVW000010,CUS23073,INV124239,5,5,5,Cơ sở vật chất tốt nhưng dịch vụ chưa xứng giá.
RVW000011,CUS15803,INV087340,8,7,8,"Phòng khám đẹp, dịch vụ tốt, cần cải thiện thời gian chờ."
RVW000012,CUS06956,INV008999,9,8,9,"Thiết bị hiện đại, khám nhanh chóng, kết quả chính xác."
RVW000013,CUS43211,INV103614,9,9,9,"Phòng khám sạch sẽ, hiện đại, bác sĩ chuyên nghiệp."
RVW000014,CUS42541,INV087699,10,10,10,"Bác sĩ giải thích rõ ràng, tư vấn nhiệt tình."
RVW000015,CUS02870,INV125614,5,5,5,"Dịch vụ bình thường, không có gì đặc biệt."
RVW000016,CUS34019,INV076132,7,6,7,"Phòng khám đẹp, dịch vụ tốt, cần cải thiện thời gian chờ."
RVW000017,CUS70114,INV147088,9,8,9,"Chó nhà mình được cứu sống, biết ơn bác sĩ vô cùng!"
RVW000018,CUS01026,INV083760,5,6,5,"Khám được, nhưng phải chờ khá lâu."
RVW000019,CUS16825,INV080844,8,7,8,"Bác sĩ tư vấn nhiệt tình, chỉ mong giá mềm hơn."
RVW000020,CUS71287,INV079553,7,6,7,"Phòng khám đẹp, dịch vụ tốt, cần cải thiện thời gian chờ."
RVW000021,CUS77076,INV006230,10,10,10,"Phẫu thuật thành công, bé hồi phục nhanh chóng."
RVW000022,CUS30086,INV057436,8,7,8,"Thuốc hiệu quả, bé khỏe hẳn sau 3 ngày điều trị."
RVW000023,CUS05199,INV035353,6,7,6,"Dịch vụ bình thường, không có gì đặc biệt."
RVW000024,CUS69730,INV051205,10,10,10,"Phòng khám sạch sẽ, hiện đại, bác sĩ chuyên nghiệp."
RVW000025,CUS18596,INV062545,7,7,7,"Bác sĩ giỏi, nhưng giá hơi cao so với mặt bằng chung."
RVW000026,CUS08749,INV067849,9,8,9,"10 điểm cho dịch vụ, sẽ giới thiệu cho bạn bè!"
RVW000027,CUS45197,INV107908,3,3,3,Nhân viên không nhiệt tình lắm.
RVW000028,CUS22443,INV101793,1,1,1,Cần cải thiện thái độ phục vụ.
RVW000029,CUS55629,INV020262,10,10,10,"Đặt lịch online tiện lợi, không phải chờ đợi lâu."
RVW000030,CUS77494,INV039973,7,8,7,"Phòng khám đẹp, dịch vụ tốt, cần cải thiện thời gian chờ."
RVW000031,CUS05684,INV113968,8,7,8,"Bác sĩ tư vấn nhiệt tình, chỉ mong giá mềm hơn."
RVW000032,CUS04784,INV128999,9,10,9,"Bác sĩ rất giỏi và tận tâm, em cún nhà mình khỏe hẳn!"
RVW000033,CUS27087,INV040131,10,10,10,"Mèo nhà mình được chăm sóc rất chu đáo, cảm ơn PetCareX!"
RVW000034,CUS36620,INV108258,7,6,7,"Bác sĩ tư vấn nhiệt tình, chỉ mong giá mềm hơn."
RVW000035,CUS63794,INV019483,8,7,8,"Thuốc hiệu quả, bé khỏe hẳn sau 3 ngày điều trị."
RVW000036,CUS41283,INV065547,7,8,7,"Nhìn chung ổn, nhân viên thân thiện, sẽ quay lại."
RVW000037,CUS03789,INV039428,10,10,10,"Bác sĩ giải thích rõ ràng, tư vấn nhiệt tình."
RVW000038,CUS72135,INV023006,9,9,9,"Thiết bị hiện đại, khám nhanh chóng, kết quả chính xác."
RVW000039,CUS50050,INV020973,9,8,9,"Đặt lịch online tiện lợi, không phải chờ đợi lâu."
RVW000040,CUS61035,INV016842,9,8,9,"Giá cả hợp lý, chất lượng dịch vụ xuất sắc!"
RVW000041,CUS12556,INV048183,7,6,7,"Phòng khám đẹp, dịch vụ tốt, cần cải thiện thời gian chờ."
RVW000042,CUS21945,INV084561,9,8,9,"Rất hài lòng với dịch vụ grooming, bé đẹp xuất sắc!"
RVW000043,CUS27640,INV141438,7,6,7,"Thuốc hiệu quả, bé khỏe hẳn sau 3 ngày điều trị."
RVW000044,CUS69548,INV005342,10,9,10,"Dịch vụ tuyệt vời, nhân viên thân thiện, sẽ quay lại!"
RVW000045,CUS04248,INV077903,5,6,5,"Bác sĩ ổn, nhưng nhân viên hơi thiếu nhiệt tình."
RVW000046,CUS18801,INV012451,10,10,10,"Phòng khám sạch sẽ, hiện đại, bác sĩ chuyên nghiệp."
RVW000047,CUS65214,INV064115,7,8,7,"Khám kỹ lưỡng, chỉ tiếc là bãi đỗ xe hơi chật."
RVW000048,CUS37708,INV002030,6,6,6,Cơ sở vật chất tốt nhưng dịch vụ chưa xứng giá.
RVW000049,CUS56134,INV034630,9,10,9,"Bác sĩ rất giỏi và tận tâm, em cún nhà mình khỏe hẳn!"
RVW000050,CUS21331,INV113743,6,7,6,Cơ sở vật chất tốt nhưng dịch vụ chưa xứng giá.
RVW000051,CUS74637,INV000359,10,10,10,"Bác sĩ rất giỏi và tận tâm, em cún nhà mình khỏe hẳn!"
RVW000052,CUS70910,INV102108,7,7,7,"Bác sĩ tư vấn nhiệt tình, chỉ mong giá mềm hơn."
RVW000053,CUS45500,INV029440,10,10,10,"Rất hài lòng với dịch vụ grooming, bé đẹp xuất sắc!"
RVW000054,CUS16263,INV079032,6,6,6,"Được thôi, sẽ cân nhắc khi cần quay lại.ínt"
RVW000055,CUS12715,INV009294,7,8,7,"Thuốc hiệu quả, bé khỏe hẳn sau 3 ngày điều trị."
