ReviewID,CustomerID,InvoiceID,ServiceQuantityScore,StaffAttitudeScore,OverallSatisfaction,Comment
RVW000001,CUS43782,INV011350,10,10,10,"Phòng khám sạch sẽ, hiện đại, bác sĩ chuyên nghiệp."
RVW000002,CUS46768,INV063228,7,7,7,"Dịch vụ tốt, chỉ hơi đông nên phải chờ một chút."
RVW000003,CUS33710,INV070206,8,9,8,"Bác sĩ tư vấn nhiệt tình, chỉ mong giá mềm hơn."
RVW000004,CUS60529,INV082262,9,9,9,"Đã đưa bé đến nhiều lần, lần nào cũng hài lòng."
RVW000005,CUS40132,INV099502,8,7,8,"Khám kỹ lưỡng, chỉ tiếc là bãi đỗ xe hơi chật."
RVW000006,CUS26939,INV036639,8,7,8,"Dịch vụ tốt, chỉ hơi đông nên phải chờ một chút."
RVW000007,CUS31179,INV069352,3,2,3,Cần cải thiện thái độ phục vụ.
RVW000008,CUS63413,INV072357,9,10,9,"Bác sĩ giải thích rõ ràng, tư vấn nhiệt tình."
RVW000009,CUS77824,INV082034,8,7,8,"Khám kỹ lưỡng, chỉ tiếc là bãi đỗ xe hơi chật."
RVW000010,CUS54134,INV015639,8,7,8,"Thuốc hiệu quả, bé khỏe hẳn sau 3 ngày điều trị."
RVW000011,CUS30761,INV009424,10,10,10,"Đã đưa bé đến nhiều lần, lần nào cũng hài lòng."
RVW000012,CUS63917,INV067259,9,8,9,"Gói tiêm phòng đầy đủ, giá tốt, dịch vụ chuyên nghiệp."
RVW000013,CUS70056,INV060999,9,10,9,"Mèo nhà mình được chăm sóc rất chu đáo, cảm ơn PetCareX!"
RVW000014,CUS74452,INV065860,9,9,9,"Đặt lịch online tiện lợi, không phải chờ đợi lâu."
RVW000015,CUS25775,INV045146,6,6,6,Cơ sở vật chất tốt nhưng dịch vụ chưa xứng giá.
RVW000016,CUS45317,INV044897,8,7,8,"Phòng khám đẹp, dịch vụ tốt, cần cải thiện thời gian chờ."
RVW000017,CUS00933,INV063696,10,10,10,"Bác sĩ giải thích rõ ràng, tư vấn nhiệt tình."
RVW000018,CUS40861,INV042848,10,10,10,"Nhân viên lễ tân nhiệt tình, hướng dẫn tận tình."
RVW000019,CUS20816,INV092279,10,10,10,"Đã đưa bé đến nhiều lần, lần nào cũng hài lòng."
RVW000020,CUS70002,INV049431,8,8,8,"Thuốc hiệu quả, bé khỏe hẳn sau 3 ngày điều trị."
RVW000021,CUS67696,INV046750,9,10,9,"Rất hài lòng với dịch vụ grooming, bé đẹp xuất sắc!"
RVW000022,CUS58353,INV004734,8,9,8,"Phòng khám đẹp, dịch vụ tốt, cần cải thiện thời gian chờ."
RVW000023,CUS38428,INV003475,9,9,9,"Phẫu thuật thành công, bé hồi phục nhanh chóng."
RVW000024,CUS41168,INV032421,9,10,9,"Chó nhà mình được cứu sống, biết ơn bác sĩ vô cùng!"
RVW000025,CUS43184,INV077594,5,4,5,Cơ sở vật chất tốt nhưng dịch vụ chưa xứng giá.
RVW000026,CUS60963,INV019815,6,6,6,Cơ sở vật chất tốt nhưng dịch vụ chưa xứng giá.
RVW000027,CUS69198,INV090887,9,9,9,"10 điểm cho dịch vụ, sẽ giới thiệu cho bạn bè!"
RVW000028,CUS50852,INV054961,9,8,9,"Dịch vụ tuyệt vời, nhân viên thân thiện, sẽ quay lại!"
RVW000029,CUS67971,INV042836,9,10,9,"Gói tiêm phòng đầy đủ, giá tốt, dịch vụ chuyên nghiệp."
RVW000030,CUS17995,INV083322,10,9,10,"Phẫu thuật thành công, bé hồi phục nhanh chóng."
RVW000031,CUS77439,INV030070,10,10,10,"Rất hài lòng với dịch vụ grooming, bé đẹp xuất sắc!"
RVW000032,CUS51116,INV083209,7,6,7,"Bác sĩ tư vấn nhiệt tình, chỉ mong giá mềm hơn."
RVW000033,CUS60033,INV055260,10,10,10,"Rất hài lòng với dịch vụ grooming, bé đẹp xuất sắc!"
RVW000034,CUS50147,INV093716,4,4,4,Cần cải thiện thái độ phục vụ.
RVW000035,CUS11692,INV013536,10,10,10,"Đã đưa bé đến nhiều lần, lần nào cũng hài lòng."
RVW000036,CUS29799,INV027414,10,10,10,"Dịch vụ tuyệt vời, nhân viên thân thiện, sẽ quay lại!"
RVW000037,CUS04914,INV075967,7,7,7,"Bác sĩ tư vấn nhiệt tình, chỉ mong giá mềm hơn."
RVW000038,CUS39737,INV079028,10,9,10,"Rất hài lòng với dịch vụ grooming, bé đẹp xuất sắc!"
RVW000039,CUS27934,INV028451,7,6,7,"Phòng khám đẹp, dịch vụ tốt, cần cải thiện thời gian chờ."
RVW000040,CUS49768,INV052024,7,8,7,"Bác sĩ giỏi, nhưng giá hơi cao so với mặt bằng chung."
RVW000041,CUS05513,INV010059,7,7,7,"Thuốc hiệu quả, bé khỏe hẳn sau 3 ngày điều trị."
