ReviewID,CustomerID,InvoiceID,ServiceQuantityScore,StaffAttitudeScore,OverallSatisfaction,Comment
RVW000001,CUS48089,INV121062,10,10,10,"Phòng sạch, nhân viên thân thiện, dịch vụ chu đáo."
RVW000002,CUS55406,INV067555,10,10,10,Thú cưng của tôi đã khỏe lại nhờ điều trị tuyệt vời.
RVW000003,CUS10798,INV026643,6,6,6,"Bình thường, phục vụ ổn nhưng cần cải thiện."
RVW000004,CUS73704,INV140644,8,8,8,"Tuyệt, chỉ là thời gian khám hơi nhanh."
RVW000005,CUS74516,INV074128,8,8,8,"Bác sĩ chuyên nghiệp, khám nhanh gọn, có kết quả."
RVW000006,CUS00539,INV069970,10,10,10,Đội ngũ bác sĩ cực kỳ tâm lý với thú cưng.
RVW000007,CUS68843,INV084256,10,10,10,"Sẽ quay lại và giới thiệu cho bạn bè, thực sự đáng giá!"
RVW000008,CUS30817,INV000063,8,8,8,"Bác sĩ chuyên nghiệp, khám nhanh gọn, có kết quả."
RVW000009,CUS17043,INV125728,9,9,9,"Nhân viên tư vấn rất tốt, bác sĩ tinh tế."
RVW000010,CUS53237,INV101672,9,9,9,"Rất tốt, chỉ tiếc một chút chốc chờ lâu hơi lâu."
RVW000011,CUS29537,INV129708,8,8,8,"Tuyệt, chỉ là thời gian khám hơi nhanh."
RVW000012,CUS55031,INV070158,9,9,9,"Phòng khám đẹp, bác sĩ vui tính và có tâm."
RVW000013,CUS33422,INV138480,8,8,8,"Rất ổn, nên tới đây nếu thú cưng bị bệnh."
RVW000014,CUS76340,INV027491,9,9,9,"Khám kỹ lưỡng, khỏi hoàn toàn nên sẽ quay lại."
RVW000015,CUS69747,INV095978,10,10,10,"Giá cả công bằng, chất lượng tuyệt hảo."
RVW000016,CUS51407,INV128111,10,10,10,Thú cưng của tôi đã khỏe lại nhờ điều trị tuyệt vời.
RVW000017,CUS40988,INV125605,9,9,9,"Nhân viên tư vấn rất tốt, bác sĩ tinh tế."
RVW000018,CUS02820,INV079153,8,8,8,"Khám tốt, bác sĩ giải thích kỹ, chỉ hơi đắt một chút."
RVW000019,CUS03854,INV099485,9,9,9,"Phòng khám đẹp, bác sĩ vui tính và có tâm."
RVW000020,CUS20636,INV059650,10,10,10,"Đã đem nhiều con đến, luôn hài lòng 100%."
RVW000021,CUS10514,INV110201,10,10,10,Đội ngũ bác sĩ cực kỳ tâm lý với thú cưng.
RVW000022,CUS59440,INV047840,8,8,8,"Khám tốt, bác sĩ giải thích kỹ, chỉ hơi đắt một chút."
RVW000023,CUS10772,INV145961,7,7,7,"Được, bác sĩ còn được, cơ sở vật chất ổn."
RVW000024,CUS22961,INV044482,9,9,9,"Rất tốt, chỉ tiếc một chút chốc chờ lâu hơi lâu."
RVW000025,CUS20625,INV016014,7,7,7,"Bình thường, dịch vụ ổn nhưng chưa tuyệt hảo."
RVW000026,CUS07661,INV087233,8,8,8,"Khám tốt, bác sĩ giải thích kỹ, chỉ hơi đắt một chút."
RVW000027,CUS01747,INV066248,10,10,10,Không chỉ chữa bệnh mà còn dạy cách chăm sóc thú cưng.
RVW000028,CUS52240,INV027611,10,10,10,"Bác sĩ giỏi, chuyên nghiệp, giải thích chi tiết!"
